objectid,stationid,sampledate,trawlnumber,debristype,count,comments,latitude,longitude,stratum,Type,abandoned,Replaces,areaweight,region,type
2291,B18-10875,2018-08-09T00:00:00Z,1,Kelp Stipe/Blade,1,Fragments,33.1753,-117.4036,Inner Shelf,Overdraw,No,B18-10880,40.43039795,San Diego Shelf,Marine_Originated
2292,B18-10879,2018-09-07T00:00:00Z,1,Food Bag/Wrapper,1,NA,32.66821,-117.206,Inner Shelf,Overdraw,No,B18-10235,40.43039795,South San Diego Shelf,Plastic
2293,B18-10879,2018-09-07T00:00:00Z,1,Foliose Algae - not kelp,1,Bryozoan mat,32.66821,-117.206,Inner Shelf,Overdraw,No,B18-10235,40.43039795,South San Diego Shelf,Marine_Originated
2294,B18-10879,2018-09-07T00:00:00Z,1,Kelp Stipe/Blade,2,NA,32.66821,-117.206,Inner Shelf,Overdraw,No,B18-10235,40.43039795,South San Diego Shelf,Marine_Originated
2295,B18-10879,2018-09-07T00:00:00Z,1,Seagrass,0,NA,32.66821,-117.206,Inner Shelf,Overdraw,No,B18-10235,40.43039795,South San Diego Shelf,Marine_Originated
2296,B18-10925,2018-08-09T00:00:00Z,1,Kelp Stipe/Blade,1,Small fragments,33.24229,-117.5077,Mid Shelf,Overdraw,No,B18-10268,67.32610042,North San Diego Shelf,Marine_Originated
2297,B18-10930,2018-09-05T00:00:00Z,1,Kelp Stipe/Blade,1,NA,32.70749,-117.3365,Mid Shelf,Overdraw,No,B18-10274,67.32610042,South San Diego Shelf,Marine_Originated
2298,B18-10989,2018-09-05T00:00:00Z,1,Bag,1,NA,32.74153,-117.36,Outer Shelf,Overdraw,No,B18-10316,23.28776249,San Diego Slope,Plastic
2299,B18-10989,2018-09-05T00:00:00Z,1,Glass Bottle/Jar -other,1,NA,32.74153,-117.36,Outer Shelf,Overdraw,No,B18-10316,23.28776249,San Diego Slope,Recyclable
2300,B18-10989,2018-09-05T00:00:00Z,1,Paper,2,NA,32.74153,-117.36,Outer Shelf,Overdraw,No,B18-10316,23.28776249,San Diego Slope,Biodegradable
2301,B18-10992,2018-09-07T00:00:00Z,1,Other Marine (comment req.),68,Encrusting coral,32.59962,-117.3434,Outer Shelf,Overdraw,No,B18-10317,23.28776249,North San Diego Shelf,Marine_Originated
2302,B18-10992,2018-09-07T00:00:00Z,1,Other Metal (comment req.),100,Count is a very rough estimate; Aluminum plane pieces (20.3 kg),32.59962,-117.3434,Outer Shelf,Overdraw,No,B18-10317,23.28776249,North San Diego Shelf,Metal
2303,B18-11032,2018-08-09T00:00:00Z,1,None,0,No problem with trawl,33.13011,-117.4396,Upper Slope,Overdraw,No,B18-10347,125.2249344,San Diego Slope,None
2304,B18-10000,2018-07-19T00:00:00Z,1,Kelp Stipe/Blade,1,1 Egregia strand,33.75935,-118.16285,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2305,B18-10001,2018-07-19T00:00:00Z,1,None,0,No problems with trawl,33.75286667,-118.1502833,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,None
2306,B18-10002,2018-07-30T00:00:00Z,1,Kelp Stipe/Blade,1,1 blade of Macrocystis,33.7442,-118.1687667,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2307,B18-10003,2018-07-19T00:00:00Z,1,Kelp Stipe/Blade,1,1 apical end of Macrocystis,33.74438333,-118.1402667,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2308,B18-10003,2018-07-19T00:00:00Z,1,Food Bag/Wrapper,1,1 small piece,33.74438333,-118.1402667,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,Plastic
2309,B18-10004,2018-07-19T00:00:00Z,1,None,0,No problems with trawl,33.74301667,-118.1530333,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,None
2310,B18-10005,2018-07-17T00:00:00Z,1,Kelp Stipe/Blade,2,2 pieces of Macrocystis,33.7409,-118.1752667,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2311,B18-10005,2018-07-17T00:00:00Z,1,Stick/Branch/Driftwood,0,1 stick,33.7409,-118.1752667,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,Biodegradable
2312,B18-10006,2018-07-17T00:00:00Z,1,None,0,No problems with trawl,33.73966667,-118.1714833,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,None
2313,B18-10007,2018-07-19T00:00:00Z,1,Kelp Stipe/Blade,3,"2 small pieces of Macrocystis, 1 small piece of other brown algae",33.73363333,-118.2111833,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2314,B18-10007,2018-07-19T00:00:00Z,1,Bag,1,1 broken down piece of a grocery bag,33.73363333,-118.2111833,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,Plastic
2315,B18-10007,2018-07-19T00:00:00Z,1,Tire,1,"16"" car tire from a tug boat",33.73363333,-118.2111833,Bays,New Site,No,NA,0.269230769,Los Angeles/Long Beach,Miscellaneous
2316,B18-10008,2018-07-17T00:00:00Z,1,Kelp Stipe/Blade,1,Single strand of Egregia,33.73183333,-118.2044667,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2317,B18-10008,2018-07-17T00:00:00Z,1,Foliose Algae - not kelp,1,Degraded green algae,33.73183333,-118.2044667,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2318,B18-10008,2018-07-17T00:00:00Z,1,Food Bag/Wrapper,1,1980 Ruffles Cheddar & Sour Cream potato chip bag - 1.125 oz,33.73183333,-118.2044667,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Plastic
2319,B18-10008,2018-07-17T00:00:00Z,1,Drink Can,1,Old Budweiser shredded can,33.73183333,-118.2044667,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Recyclable
2320,B18-10011,2018-08-01T00:00:00Z,1,Kelp Stipe/Blade,1,Macrocystis blade,33.72425,-118.2235333,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2321,B18-10012,2018-07-17T00:00:00Z,1,Bag,1,1 dog poop bag,33.71331667,-118.2410833,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Plastic
2322,B18-10012,2018-07-17T00:00:00Z,1,Fishing Line/Net,2,2 pieces of fishing line,33.71331667,-118.2410833,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Plastic
2323,B18-10012,2018-07-17T00:00:00Z,1,Foliose Algae - not kelp,1,Red and green algae,33.71331667,-118.2410833,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2324,B18-10012,2018-07-17T00:00:00Z,1,Kelp Stipe/Blade,1,Macrocystis,33.71331667,-118.2410833,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2325,B18-10012,2018-07-17T00:00:00Z,1,Seagrass,0,2 strands,33.71331667,-118.2410833,Bays,Revisit,No,NA,0.269230769,Los Angeles/Long Beach,Marine_Originated
2326,B18-10218,2018-09-05T00:00:00Z,1,Kelp Stipe/Blade,9,"7 blades & stipes of Macrocystis, 1 strand of Egregia, 1 blade of Laminaria",34.02313333,-118.5934167,Inner Shelf,Revisit,No,NA,40.43039795,Santa Monica Bay,Marine_Originated
2327,B18-10218,2018-09-05T00:00:00Z,1,Foliose Algae - not kelp,1,Rhodomenia,34.02313333,-118.5934167,Inner Shelf,Revisit,No,NA,40.43039795,Santa Monica Bay,Marine_Originated
2328,B18-10218,2018-09-05T00:00:00Z,1,Seagrass,0,4 strands,34.02313333,-118.5934167,Inner Shelf,Revisit,No,NA,40.43039795,Santa Monica Bay,Marine_Originated
2329,B18-10218,2018-09-05T00:00:00Z,1,Other Marine (comment req.),1,"Thalamoporella californica (Bryozoan), large quantities to explain presence of nudibranchs",34.02313333,-118.5934167,Inner Shelf,Revisit,No,NA,40.43039795,Santa Monica Bay,Marine_Originated
2330,B18-10219,2018-09-04T00:00:00Z,1,Foliose Algae - not kelp,4,"1 Sargassum, 2 Chondracanthus, 1 Plocamium",33.96228333,-118.4767333,Inner Shelf,Revisit,No,NA,40.43039795,Santa Monica Bay,Marine_Originated
2331,B18-10219,2018-09-04T00:00:00Z,1,Kelp Stipe/Blade,4,"1 stipe, 3 blades of Macrocystis",33.96228333,-118.4767333,Inner Shelf,Revisit,No,NA,40.43039795,Santa Monica Bay,Marine_Originated
2332,B18-10219,2018-09-04T00:00:00Z,1,Stick/Branch/Driftwood,0,1 stick,33.96228333,-118.4767333,Inner Shelf,Revisit,No,NA,40.43039795,Santa Monica Bay,Biodegradable
2333,B18-10250,2018-08-21T00:00:00Z,2,Other Plastic (comment req.),1,Anthropogenic house sponge,34.0528,-119.0490667,Mid Shelf,New Site,No,NA,67.32610042,Hueneme to Dume,Plastic
2334,B18-10250,2018-08-21T00:00:00Z,2,Kelp Stipe/Blade,1,Egregia strands,34.0528,-119.0490667,Mid Shelf,New Site,No,NA,67.32610042,Hueneme to Dume,Marine_Originated
2335,B18-10253,2018-09-04T00:00:00Z,1,Polypropylene Rope,1,1 small piece,33.94395,-118.5197333,Mid Shelf,Revisit,No,NA,67.32610042,Santa Monica Bay,Plastic
2336,B18-10253,2018-09-04T00:00:00Z,1,Seagrass,0,5 strands,33.94395,-118.5197333,Mid Shelf,Revisit,No,NA,67.32610042,Santa Monica Bay,Marine_Originated
2337,B18-10254,2018-09-04T00:00:00Z,1,Kelp Stipe/Blade,2,1 blade and 1 stipe of Macrocystis,33.93495,-118.5395,Mid Shelf,Revisit,No,NA,67.32610042,Santa Monica Bay,Marine_Originated
2338,B18-10254,2018-09-04T00:00:00Z,1,Seagrass,0,3 strands,33.93495,-118.5395,Mid Shelf,Revisit,No,NA,67.32610042,Santa Monica Bay,Marine_Originated
2339,B18-10255,2018-09-18T00:00:00Z,1,Kelp Stipe/Blade,2,"1 Macrocystis stipe, 1 very large strand of Egregia (6ft long with 10 branches)",33.86583333,-118.5281,Mid Shelf,New Site,No,NA,67.32610042,Santa Monica Bay,Marine_Originated
2340,B18-10303,2018-08-21T00:00:00Z,1,Food Bag/Wrapper,3,3 pieces of cheetos bag(s?),34.04463333,-119.05545,Outer Shelf,Revisit,No,NA,23.28776249,Hueneme to Dume,Plastic
2341,B18-10303,2018-08-21T00:00:00Z,1,Polypropylene Rope,1,1 thick piece,34.04463333,-119.05545,Outer Shelf,Revisit,No,NA,23.28776249,Hueneme to Dume,Plastic
2342,B18-10303,2018-08-21T00:00:00Z,1,Kelp Stipe/Blade,6,6 blades of Macrocystis,34.04463333,-119.05545,Outer Shelf,Revisit,No,NA,23.28776249,Hueneme to Dume,Marine_Originated
2343,B18-10303,2018-08-21T00:00:00Z,1,Seagrass,0,2 strands,34.04463333,-119.05545,Outer Shelf,Revisit,No,NA,23.28776249,Hueneme to Dume,Marine_Originated
2344,B18-10303,2018-08-21T00:00:00Z,1,Leaves/Seed Pod,0,1 leaf,34.04463333,-119.05545,Outer Shelf,Revisit,No,NA,23.28776249,Hueneme to Dume,Biodegradable
2345,B18-10303,2018-08-21T00:00:00Z,1,Stick/Branch/Driftwood,0,1 stick,34.04463333,-119.05545,Outer Shelf,Revisit,No,NA,23.28776249,Hueneme to Dume,Biodegradable
2346,B18-10304,2018-09-11T00:00:00Z,1,Seagrass,0,2 strands,34.03365,-119.0301167,Outer Shelf,New Site,No,NA,23.28776249,Hueneme to Dume,Marine_Originated
2347,B18-10308,2018-09-18T00:00:00Z,1,None,0,No problems with trawl,33.91223333,-118.5884667,Outer Shelf,New Site,No,NA,23.28776249,Santa Monica Bay,None
2348,B18-10309,2018-08-28T00:00:00Z,1,None,0,No problems with trawl,33.81898333,-118.5258833,Outer Shelf,New Site,No,NA,23.28776249,Santa Monica Bay,None
2349,B18-10311,2018-08-28T00:00:00Z,1,Kelp Stipe/Blade,5,3 blades and 2 stipes of Macrocystis,33.76651667,-118.4604333,Outer Shelf,Revisit,No,NA,23.28776249,Santa Monica Bay,Marine_Originated
2350,B18-10341,2018-08-29T00:00:00Z,2,None,0,No problems with trawl,33.9582,-118.6487,Upper Slope,New Site,No,NA,125.2249344,Santa Monica Bay,None
2351,B18-10411,2018-07-30T00:00:00Z,1,Kelp Stipe/Blade,1,1 Egregia strand,33.73616667,-118.2172833,Bays,Overdraw,No,B18-10010,0.269230769,Los Angeles/Long Beach,Marine_Originated
2352,B18-10417,2018-07-30T00:00:00Z,1,Kelp Stipe/Blade,1,1 blade of Macrocystis,33.73116667,-118.1571833,Bays,Overdraw,No,B18-10009,0.269230769,Los Angeles/Long Beach,Marine_Originated
2353,B18-10905,2018-09-05T00:00:00Z,1,Kelp Stipe/Blade,9,"5 blades of Macrocystis, 4 blades of Laminariales",33.99113333,-118.5358833,Mid Shelf,Overdraw,No,B18-10252,67.32610042,Santa Monica Bay,Marine_Originated
2354,B18-10905,2018-09-05T00:00:00Z,1,Seagrass,0,4 strands,33.99113333,-118.5358833,Mid Shelf,Overdraw,No,B18-10252,67.32610042,Santa Monica Bay,Marine_Originated
2355,B18-10911,2018-08-28T00:00:00Z,1,Kelp Stipe/Blade,4,4 beat up blades of Macrocystis,33.7777,-118.47395,Mid Shelf,Overdraw,No,B18-10906,67.32610042,Santa Monica Bay,Marine_Originated
2356,B18-10911,2018-08-28T00:00:00Z,1,Other Marine (comment req.),1,large worm tubes and large shell hash,33.7777,-118.47395,Mid Shelf,Overdraw,No,B18-10906,67.32610042,Santa Monica Bay,Marine_Originated
2357,B18-10968,2018-09-05T00:00:00Z,1,Kelp Stipe/Blade,1,1 blade of Macrocystis,33.92333333,-118.5675667,Outer Shelf,Overdraw,No,B18-10306,23.28776249,Hueneme to Dume,Marine_Originated
2358,B18-10968,2018-09-05T00:00:00Z,1,Seagrass,0,5 strands,33.92333333,-118.5675667,Outer Shelf,Overdraw,No,B18-10306,23.28776249,Hueneme to Dume,Marine_Originated
2359,B18-10968,2018-09-05T00:00:00Z,1,Stick/Branch/Driftwood,0,1 stick,33.92333333,-118.5675667,Outer Shelf,Overdraw,No,B18-10306,23.28776249,Hueneme to Dume,Biodegradable
2360,B18-10207,2018-08-08T00:00:00Z,1,Beer Bottle,1,NA,34.3960926,-119.6623071,Inner Shelf,Revisit,No,NA,40.43039795,East Santa Barbara Channel,Recyclable
2361,B18-10207,2018-08-08T00:00:00Z,1,Kelp Stipe/Blade,10,NA,34.3960926,-119.6623071,Inner Shelf,Revisit,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2362,B18-10211,2018-08-27T00:00:00Z,1,Foliose Algae - not kelp,5,NA,34.22829,-119.35223,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2363,B18-10211,2018-08-27T00:00:00Z,1,Stick/Branch/Driftwood,0,NA,34.22829,-119.35223,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,Biodegradable
2364,B18-10212,2018-08-27T00:00:00Z,1,Foliose Algae - not kelp,8,NA,34.19941,-119.29601,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2365,B18-10215,2018-08-27T00:00:00Z,1,Foliose Algae - not kelp,1,NA,34.10112,-119.1507,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Marine_Originated
2366,B18-10215,2018-08-27T00:00:00Z,1,Kelp Stipe/Blade,5,NA,34.10112,-119.1507,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Marine_Originated
2367,B18-10215,2018-08-27T00:00:00Z,1,Seagrass,0,NA,34.10112,-119.1507,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Marine_Originated
2368,B18-10221,2018-08-27T00:00:00Z,1,Plastic Piece (unid.),1,NA,34.07996,-119.0598,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Plastic
2369,B18-10221,2018-08-27T00:00:00Z,1,Kelp Holdfast,0,NA,34.07996,-119.0598,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Marine_Originated
2370,B18-10221,2018-08-27T00:00:00Z,1,Kelp Stipe/Blade,1,NA,34.07996,-119.0598,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Marine_Originated
2371,B18-10221,2018-08-27T00:00:00Z,1,Stick/Branch/Driftwood,0,NA,34.07996,-119.0598,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Biodegradable
2372,B18-10214,2018-08-27T00:00:00Z,1,Foliose Algae - not kelp,2,NA,34.12478,-119.19244,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Marine_Originated
2373,B18-10214,2018-08-27T00:00:00Z,1,Other Foliose Algae,1,NA,34.12478,-119.19244,Inner Shelf,Revisit,No,NA,40.43039795,Hueneme to Dume,Marine_Originated
2374,B18-10251,2018-08-28T00:00:00Z,3,Seagrass,0,NA,34.01583,-118.9119,Mid Shelf,New Site,No,NA,67.32610042,Hueneme to Dume,Marine_Originated
2375,B18-10213,2018-09-03T00:00:00Z,1,None,0,No debris present in sample,34.17862,-119.34675,Inner Shelf,Revisit,No,NA,40.43039795,East Santa Barbara Channel,None
2376,B18-10249,2018-09-03T00:00:00Z,1,None,0,No debris present in sample,34.19524,-119.39093,Mid Shelf,New Site,No,NA,67.32610042,East Santa Barbara Channel,None
2377,B18-10210,2018-09-03T00:00:00Z,1,None,0,No debris present in sample,34.24353,-119.38537,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,None
2378,B18-10300,2018-09-04T00:00:00Z,6,None,0,No debris present in sample,34.08896,-119.27475,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,None
2379,B18-10848,2018-09-05T00:00:00Z,1,Stick/Branch/Driftwood,0,NA,34.10945,-119.20938,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,Biodegradable
2380,B18-10299,2018-09-05T00:00:00Z,3,None,0,No debris present in sample,34.10704,-119.31886,Outer Shelf,Revisit,No,NA,23.28776249,East Santa Barbara Channel,None
2381,B18-10295,2018-09-05T00:00:00Z,2,None,0,No debris present in sample,34.13272,-119.36348,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,None
2382,B18-10953,2018-09-07T00:00:00Z,1,None,0,No debris present in sample,34.16299,-119.46716,Outer Shelf,Overdraw,No,B18-10302,23.28776249,Hueneme to Dume,None
2383,B18-10205,2018-09-11T00:00:00Z,1,Foliose Algae - not kelp,1,NA,34.40361,-119.81217,Inner Shelf,Revisit,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2384,B18-10205,2018-09-11T00:00:00Z,1,Kelp Stipe/Blade,1,NA,34.40361,-119.81217,Inner Shelf,Revisit,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2385,B18-10205,2018-09-11T00:00:00Z,1,Other Marine (comment req.),1,Bryozoan,34.40361,-119.81217,Inner Shelf,Revisit,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2386,B18-10243,2018-09-11T00:00:00Z,1,Kelp Stipe/Blade,1,NA,34.40102,-119.83283,Mid Shelf,Revisit,No,NA,67.32610042,East Santa Barbara Channel,Marine_Originated
2387,B18-10243,2018-09-11T00:00:00Z,1,Fishing Gear,1,NA,34.40102,-119.83283,Mid Shelf,Revisit,No,NA,67.32610042,East Santa Barbara Channel,Metal
2388,B18-10244,2018-09-11T00:00:00Z,1,None,0,No debris present in sample,34.3591,-119.82501,Mid Shelf,New Site,No,NA,67.32610042,East Santa Barbara Channel,None
2389,B18-10245,2018-09-11T00:00:00Z,1,None,0,No debris present in sample,34.3576,-119.67377,Mid Shelf,New Site,No,NA,67.32610042,East Santa Barbara Channel,None
2390,B18-10842,2018-09-14T00:00:00Z,1,Kelp Stipe/Blade,1,NA,34.32716,-119.41375,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2391,B18-10842,2018-09-14T00:00:00Z,1,Other Foliose Algae,1,NA,34.32716,-119.41375,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2392,B18-10208,2018-09-14T00:00:00Z,1,Kelp Stipe/Blade,1,NA,34.33409,-119.43464,Inner Shelf,New Site,No,NA,40.43039795,East Santa Barbara Channel,Marine_Originated
2393,B18-10248,2018-09-14T00:00:00Z,2,None,0,No debris present in sample,34.22984,-119.5182,Mid Shelf,New Site,No,NA,67.32610042,East Santa Barbara Channel,None
2394,B18-10247,2018-09-14T00:00:00Z,1,Foliose Algae - not kelp,1,NA,34.31191,-119.54771,Mid Shelf,New Site,No,NA,67.32610042,East Santa Barbara Channel,Marine_Originated
2395,B18-10246,2018-09-14T00:00:00Z,1,Kelp Stipe/Blade,1,NA,34.3441,-119.56253,Mid Shelf,Revisit,No,NA,67.32610042,East Santa Barbara Channel,Marine_Originated
2396,B18-10224,2018-08-16T00:00:00Z,1,Kelp Stipe/Blade,1,"Macrocystis, Egregia, Laminaria, reds",33.6952,-118.29596,Inner Shelf,Revisit,No,NA,40.43039795,Palos Verdes Shelf,Marine_Originated
2397,B18-10224,2018-08-16T00:00:00Z,1,Seagrass,0,NA,33.6952,-118.29596,Inner Shelf,Revisit,No,NA,40.43039795,Palos Verdes Shelf,Marine_Originated
2398,B18-10283,2018-07-18T00:00:00Z,1,Food Bag/Wrapper,1,NA,34.27778,-119.71841,Outer Shelf,Revisit,No,NA,23.28776249,East Santa Barbara Channel,Plastic
2399,B18-10283,2018-07-18T00:00:00Z,1,Kelp Stipe/Blade,1,Macrocystis,34.27778,-119.71841,Outer Shelf,Revisit,No,NA,23.28776249,East Santa Barbara Channel,Marine_Originated
2400,B18-10283,2018-07-18T00:00:00Z,1,Seagrass,0,NA,34.27778,-119.71841,Outer Shelf,Revisit,No,NA,23.28776249,East Santa Barbara Channel,Marine_Originated
2401,B18-10284,2018-07-18T00:00:00Z,1,Kelp Stipe/Blade,6,Macrocystis,34.27256,-119.65716,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,Marine_Originated
2402,B18-10284,2018-07-18T00:00:00Z,1,Seagrass,0,NA,34.27256,-119.65716,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,Marine_Originated
2403,B18-10286,2018-07-17T00:00:00Z,1,Kelp Holdfast,0,NA,34.24393,-119.70575,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,Marine_Originated
2404,B18-10286,2018-07-17T00:00:00Z,1,Kelp Stipe/Blade,1,NA,34.24393,-119.70575,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,Marine_Originated
2405,B18-10286,2018-07-17T00:00:00Z,1,Other Plastic (comment req.),1,zip tie,34.24393,-119.70575,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,Plastic
2406,B18-10286,2018-07-17T00:00:00Z,1,Plastic Piece (unid.),1,NA,34.24393,-119.70575,Outer Shelf,New Site,No,NA,23.28776249,East Santa Barbara Channel,Plastic
2407,B18-10290,2018-07-19T00:00:00Z,1,Kelp Stipe/Blade,3,NA,34.2068,-119.56755,Outer Shelf,Revisit,No,NA,23.28776249,East Santa Barbara Channel,Marine_Originated
